# Resultados del experimento cliente-servidor - EJ 4B
Host: 192.168.56.10, Puerto: 8080

| Modelo | Tamaño (bytes) | Tiempo write (ms) | Tiempo read (ms) | Resultado |
| CLIENTE:: | 10000 | 0.123024 | 2.774954 | OK |
| CLIENTE:: | 10000 | 0.097036 | 2.401829 | OK |
| CLIENTE:: | 10000 | 0.090122 | 2.611876 | OK |
| CLIENTE:: | 10000 | 0.098944 | 2.644062 | OK |
| CLIENTE:: | 10000 | 0.121832 | 2.551079 | OK |
| CLIENTE:: | 10000 | 0.100851 | 2.467155 | OK |
| CLIENTE:: | 10000 | 0.128031 | 2.832890 | OK |
| CLIENTE:: | 10000 | 0.108004 | 3.303051 | OK |
| CLIENTE:: | 10000 | 0.126839 | 3.498077 | OK |
| CLIENTE:: | 10000 | 0.135899 | 3.366947 | OK |
| CLIENTE:: | 10000 | 0.107050 | 2.695799 | OK |
| CLIENTE:: | 10000 | 0.131130 | 2.598047 | OK |
| CLIENTE:: | 10000 | 0.175953 | 2.629042 | OK |
| CLIENTE:: | 10000 | 0.098944 | 2.614975 | OK |
| CLIENTE:: | 10000 | 0.102043 | 2.595901 | OK |
| CLIENTE:: | 10000 | 0.091076 | 2.595901 | OK |
| CLIENTE:: | 10000 | 0.104904 | 2.655029 | OK |
| CLIENTE:: | 10000 | 0.112057 | 2.475977 | OK |
| CLIENTE:: | 10000 | 0.092983 | 2.907038 | OK |
| CLIENTE:: | 10000 | 0.148058 | 2.798796 | OK |
| CLIENTE:: | 10000 | 0.096083 | 2.449989 | OK |
| CLIENTE:: | 10000 | 0.132084 | 2.535105 | OK |
| CLIENTE:: | 10000 | 0.111103 | 2.552986 | OK |
| CLIENTE:: | 10000 | 0.100136 | 3.473043 | OK |
| CLIENTE:: | 10000 | 0.151873 | 2.620935 | OK |
| CLIENTE:: | 10000 | 0.109911 | 2.583027 | OK |
| CLIENTE:: | 10000 | 0.101089 | 2.759933 | OK |
| CLIENTE:: | 10000 | 0.099897 | 2.671957 | OK |
| CLIENTE:: | 10000 | 0.094891 | 2.896070 | OK |
| CLIENTE:: | 10000 | 0.095844 | 2.887011 | OK |
| CLIENTE:: | 10000 | 0.107050 | 2.820969 | OK |
| CLIENTE:: | 10000 | 0.101805 | 2.484083 | OK |
| CLIENTE:: | 10000 | 0.102043 | 3.201008 | OK |
| CLIENTE:: | 10000 | 0.105143 | 3.111839 | OK |
| CLIENTE:: | 10000 | 0.102997 | 3.278971 | OK |
| CLIENTE:: | 10000 | 0.106096 | 2.722025 | OK |
| CLIENTE:: | 10000 | 0.146866 | 2.537012 | OK |
| CLIENTE:: | 10000 | 0.106096 | 2.557993 | OK |
| CLIENTE:: | 10000 | 0.093937 | 3.304005 | OK |
| CLIENTE:: | 10000 | 0.096083 | 2.637863 | OK |
| CLIENTE:: | 10000 | 0.092983 | 3.423929 | OK |
| CLIENTE:: | 10000 | 0.092983 | 2.526999 | OK |
| CLIENTE:: | 10000 | 0.101805 | 2.956152 | OK |
| CLIENTE:: | 10000 | 0.099182 | 2.429008 | OK |
| CLIENTE:: | 10000 | 0.109196 | 2.360821 | OK |
| CLIENTE:: | 10000 | 0.103951 | 2.722025 | OK |
| CLIENTE:: | 10000 | 0.117064 | 2.717018 | OK |
| CLIENTE:: | 10000 | 0.109911 | 2.965212 | OK |
| CLIENTE:: | 10000 | 0.092030 | 2.465010 | OK |
| CLIENTE:: | 10000 | 0.097036 | 2.424955 | OK |
| CLIENTE:: | 10000 | 0.097036 | 2.532959 | OK |
| CLIENTE:: | 10000 | 0.118017 | 2.532959 | OK |
| CLIENTE:: | 10000 | 0.117064 | 2.323866 | OK |
| CLIENTE:: | 10000 | 0.095844 | 2.601147 | OK |
| CLIENTE:: | 10000 | 0.128031 | 2.652884 | OK |
| CLIENTE:: | 10000 | 0.120163 | 3.324986 | OK |
| CLIENTE:: | 10000 | 0.099182 | 2.521992 | OK |
| CLIENTE:: | 10000 | 0.095129 | 2.599955 | OK |
| CLIENTE:: | 10000 | 0.102043 | 2.490044 | OK |
| CLIENTE:: | 10000 | 0.097990 | 2.640009 | OK |
| CLIENTE:: | 10000 | 0.097036 | 2.498865 | OK |
| CLIENTE:: | 10000 | 0.093937 | 2.705097 | OK |
| CLIENTE:: | 10000 | 0.101089 | 2.472878 | OK |
| CLIENTE:: | 10000 | 0.112057 | 2.387047 | OK |
| CLIENTE:: | 10000 | 0.120878 | 2.369165 | OK |
| CLIENTE:: | 10000 | 0.112057 | 2.434015 | OK |
| CLIENTE:: | 10000 | 0.097990 | 2.427816 | OK |
| CLIENTE:: | 10000 | 0.092983 | 2.861977 | OK |
| CLIENTE:: | 10000 | 0.115871 | 2.336025 | OK |
| CLIENTE:: | 10000 | 0.107050 | 2.548933 | OK |
| CLIENTE:: | 10000 | 0.129938 | 2.964020 | OK |
| [PROMEDIO - FINAL] CLIENTE [cantidad_bytes, promedio write, promedio read]:: | 10000 | 0.110478 | 2.766445 |

| Modelo | Tamaño (bytes) | Tiempo write (ms) | Tiempo read (ms) | Resultado |
| ------ | -------------- | ----------------- | ---------------- | --------- |
| CLIENTE:: | 100000 | 2.049923 | 4.600048 | OK |
| CLIENTE:: | 100000 | 0.447989 | 14.864206 | OK |
